0	14	0
0	14	45
0	14	90
0	14	135
0	14	180
0	14	-135
0	14	-90
0	14	-45
-10	10	0
-10	10	45
-10	10	90
-10	10	135
-10	10	180
-10	10	-135
-10	10	-90
-10	10	-45
8	30	0
8	30	45
8	30	90
8	30	135
8	30	180
8	30	-135
8	30	-90
8	30	-45
-8	30	0
-8	30	45
-8	30	90
-8	30	135
-8	30	180
-8	30	-135
-8	30	-90
-8	30	-45
-22	22	0
-22	22	45
-22	22	90
-22	22	135
-22	22	180
-22	22	-135
-22	22	-90
-22	22	-45
25	44	0
25	44	45
25	44	90
25	44	135
25	44	180
25	44	-135
25	44	-90
25	44	-45
0	50	0
0	50	45
0	50	90
0	50	135
0	50	180
0	50	-135
0	50	-90
0	50	-45
-25	44	0
-25	44	45
-25	44	90
-25	44	135
-25	44	180
-25	44	-135
-25	44	-90
-25	44	-45
19	70	0
19	70	45
19	70	90
19	70	135
19	70	180
19	70	-135
19	70	-90
19	70	-45
-19	70	0
-19	70	45
-19	70	90
-19	70	135
-19	70	180
-19	70	-135
-19	70	-90
-19	70	-45
-51	51	0
-51	51	45
-51	51	90
-51	51	135
-51	51	180
-51	51	-135
-51	51	-90
-51	51	-45
0	-14	0
0	-14	45
0	-14	90
0	-14	135
0	-14	180
0	-14	-135
0	-14	-90
0	-14	-45
10	-10	0
10	-10	45
10	-10	90
10	-10	135
10	-10	180
10	-10	-135
10	-10	-90
10	-10	-45
-8	-30	0
-8	-30	45
-8	-30	90
-8	-30	135
-8	-30	180
-8	-30	-135
-8	-30	-90
-8	-30	-45
8	-30	0
8	-30	45
8	-30	90
8	-30	135
8	-30	180
8	-30	-135
8	-30	-90
8	-30	-45
22	-22	0
22	-22	45
22	-22	90
22	-22	135
22	-22	180
22	-22	-135
22	-22	-90
22	-22	-45
-25	-44	0
-25	-44	45
-25	-44	90
-25	-44	135
-25	-44	180
-25	-44	-135
-25	-44	-90
-25	-44	-45
0	-50	0
0	-50	45
0	-50	90
0	-50	135
0	-50	180
0	-50	-135
0	-50	-90
0	-50	-45
25	-44	0
25	-44	45
25	-44	90
25	-44	135
25	-44	180
25	-44	-135
25	-44	-90
25	-44	-45
-19	-70	0
-19	-70	45
-19	-70	90
-19	-70	135
-19	-70	180
-19	-70	-135
-19	-70	-90
-19	-70	-45
19	-70	0
19	-70	45
19	-70	90
19	-70	135
19	-70	180
19	-70	-135
19	-70	-90
19	-70	-45
51	-51	0
51	-51	45
51	-51	90
51	-51	135
51	-51	180
51	-51	-135
51	-51	-90
51	-51	-45
-14	0	0
-14	0	45
-14	0	90
-14	0	135
-14	0	180
-14	0	-135
-14	0	-90
-14	0	-45
-10	-10	0
-10	-10	45
-10	-10	90
-10	-10	135
-10	-10	180
-10	-10	-135
-10	-10	-90
-10	-10	-45
-30	8	0
-30	8	45
-30	8	90
-30	8	135
-30	8	180
-30	8	-135
-30	8	-90
-30	8	-45
-30	-8	0
-30	-8	45
-30	-8	90
-30	-8	135
-30	-8	180
-30	-8	-135
-30	-8	-90
-30	-8	-45
-22	-22	0
-22	-22	45
-22	-22	90
-22	-22	135
-22	-22	180
-22	-22	-135
-22	-22	-90
-22	-22	-45
-44	25	0
-44	25	45
-44	25	90
-44	25	135
-44	25	180
-44	25	-135
-44	25	-90
-44	25	-45
-50	0	0
-50	0	45
-50	0	90
-50	0	135
-50	0	180
-50	0	-135
-50	0	-90
-50	0	-45
-44	-25	0
-44	-25	45
-44	-25	90
-44	-25	135
-44	-25	180
-44	-25	-135
-44	-25	-90
-44	-25	-45
-70	19	0
-70	19	45
-70	19	90
-70	19	135
-70	19	180
-70	19	-135
-70	19	-90
-70	19	-45
-70	-19	0
-70	-19	45
-70	-19	90
-70	-19	135
-70	-19	180
-70	-19	-135
-70	-19	-90
-70	-19	-45
-51	-51	0
-51	-51	45
-51	-51	90
-51	-51	135
-51	-51	180
-51	-51	-135
-51	-51	-90
-51	-51	-45
14	0	0
14	0	45
14	0	90
14	0	135
14	0	180
14	0	-135
14	0	-90
14	0	-45
10	10	0
10	10	45
10	10	90
10	10	135
10	10	180
10	10	-135
10	10	-90
10	10	-45
30	8	0
30	8	45
30	8	90
30	8	135
30	8	180
30	8	-135
30	8	-90
30	8	-45
22	22	0
22	22	45
22	22	90
22	22	135
22	22	180
22	22	-135
22	22	-90
22	22	-45
30	-8	0
30	-8	45
30	-8	90
30	-8	135
30	-8	180
30	-8	-135
30	-8	-90
30	-8	-45
50	0	0
50	0	45
50	0	90
50	0	135
50	0	180
50	0	-135
50	0	-90
50	0	-45
44	25	0
44	25	45
44	25	90
44	25	135
44	25	180
44	25	-135
44	25	-90
44	25	-45
44	-25	0
44	-25	45
44	-25	90
44	-25	135
44	-25	180
44	-25	-135
44	-25	-90
44	-25	-45
70	19	0
70	19	45
70	19	90
70	19	135
70	19	180
70	19	-135
70	19	-90
70	19	-45
51	51	0
51	51	45
51	51	90
51	51	135
51	51	180
51	51	-135
51	51	-90
51	51	-45
70	-19	0
70	-19	45
70	-19	90
70	-19	135
70	-19	180
70	-19	-135
70	-19	-90
70	-19	-45
0	0	0
0	0	45
0	0	135
0	0	180
0	0	-135
0	0	-90
0	0	-45
